3|半導體,semiconductor|||半導體|
4|光電,optoelectronic,opto-electronic|台光電||光電|
|環保,綠色,綠能,green,RoHS,無鉛,無鹵,clean,汙染,pollution,\bCO2\b|||green|
0|Paul Gilding,Joe Romm|||green,people|
|節能,省電,省能,renewable energy,再生能源,替代能源,energy saving,綠能|||green,energy|
|能源之星,Energy Star,EPS.*標準|||green,energy,standard|
|能源,原油,石油,油價,電廠,發電,energy|||energy|
2|\bLED\b,light emitting diode,light-emitting diode,發光二極體,發光二極管|OLED||光電,LED,green|
|晶電,晶元電,億光,燦圓,日亞化,Nichia,\bCree\b,飛利浦,Lumileds,Luminus,Osram,歐司朗,豐田合成,Toyota-Gosei,東貝,Unity Opto|液晶電||光電,LED,green,公司|
|背光,back light,back-light,\bBLU\b,backlit|blu-ray,blu[-\s]*ray||背光,顯示器,FPD|
|LED NB,LED TV|||背光|
|CCFL,冷陰極管|||CCFL,背光,顯示器,FPD|
|充電器,charger,\bOVP\b|||charger,power|
|inverter,逆變轉換,反向器|||inverter,power|
|DC-DC.*converter,DC/DC.*converter,DC DC.*converter,DC-DC.*器,DC/DC.*器,DC／DC.*器,DC DC.*器,壓轉換器,boost converter,buck converter,boost-buck converter,PWM,PFM,反馳變換器,fly[-\s]*back,\bLDO\b|||converter,power|20090218
|類比IC,電源.*IC,LED[\s]*驅動.*IC,LED[\s]*驅動器,LED driver,MOSFET,Class D|||analog,power,IC,design|
|\bPMU\b,電流感測|||power,IC,design|
|驅動.*IC,driver.*IC|\bLED\b||IC,design,FPD,driver|
|立錡,Richtek,致新,類比科,茂達,力智,聚積,Macroblock,通嘉,富鼎,沛亨,尼克森,點晶,安茂,美國國家半導體,National Semiconductor,Maxim,Linear Tech,凌力爾特,凌力尔特,International Rectifier,\bRECOM\b,昂寶,On Bright Electronic,Allegro|||power,IC,公司,design|
|MCU,微控制器,microcontroller,\b8051\b,\bAVR\b|||MCU,IC|
|嵌入式,embedded|||embedded,IC|
|主要,前.*大,major,Top[-\s]\d|主要.*向||major|
|風力發電|||wind,green,renewable energy|
1|太陽能,太陽電,太陽光電,太陽智,solar,光伏,\bPV\b,photovoltaic,\bBIPV\b|||solar,green,renewable energy,光電|
|薄膜,thin[-\s]film|||thin film|
|非晶矽,非晶硅,a-Si,amorphous Si|||a-Si,thin film,光電,半導體|
|CIGS,CI(G)S|||CIGS,thin film,solar,green,renewable energy,光電|
|CdTe|||CdTe|
|III-V|||半導體,compound,3-5|
|GaAs|||GaAs,半導體,compound,3-5|
|化合物,compound|||compound|
|晶圓,wafer|||wafer,半導體|
|結晶矽,結晶硅,crystalline|||crystalline,半導體|
|單晶矽,單晶硅,mono crystal,c-Si|mc-Si||c-Si,半導體|
|多晶矽,多晶硅,poly[-\s]si,mc-Si|||Poly-Si,半導體,solar|
|\bUMG\b,冶金法太陽.*矽,冶金法太陽.*硅|||Poly-Si,半導體,solar|
|cell|cellphone,cell phone,cellular||cell|
|模組,module|||module|
|系統,system|作業系統,操作系統,operati.* system,information system,file system,資訊系統,運籌系統||system|
|補貼,補助,subsid|subsidiar||subsidy|
5|面板,FPD,flat panel display,平面電視,平面顯示器,handset panel|太陽能面板||FPD,顯示器|
|大尺寸|||大尺寸|
|中小,小尺寸,中尺寸,手機面板,handset panel,次面板,sub-display|||中小|
|TFT|||TFT,FPD,顯示器|
|PDP|||PDP,FPD,TV,消費性|
|藍光光碟,藍光領域,Blu-ray|||TV,消費性,Blu-ray|
|5代線,5代廠,五代線,五代廠,五代CF線,五代ＣＦ線,G5|||G5,中小|
9|\bCF\b,彩色濾光片,Color Filter,展茂,和鑫|ECFA,CF\W*卡||CF,光電|
|\bSTN\b,\bTN\b|||TN_STN,FPD,顯示器,中小|
|觸控,touch,觸摸屏|||touch|
|洋華,Young Fast,介面光電,Cypress|||touch,公司|
|可撓,可繞,flexible|||flexible|
|IC設計,IC design|||IC,design|
